"mp_id","Longitude","Latitude","Concentration.Class","speed_sum","speed_avg","ve_avg","vn_avg","buoy_count","measurement_count"
16179,-20.8392,23.0083,"Medium",49.0357059483726,16.3452353161242,-7.89362162364384,4.86054575383464,1,3
16180,-21.2277,23.7238,"Low",31.1158506316968,15.5579253158484,-8.82377194946426,-0.64103768191268,1,2
16181,-18.5837,23.8871,"Medium",92.9225434552565,23.2306358638141,-13.82048610536,-12.7990406372211,1,4
16182,-21.3343,22.2947,"High",115.154257022654,23.0308514045308,-13.5438885307443,-5.80693902265372,1,5
16183,-18.9109,22.8342,"Medium",317.609619232678,31.7609619232678,-14.678091514246,-20.3238315643974,1,10
16184,-19.9525,22.3413,"Low",21.0266274509804,21.0266274509804,-14.5552745098039,-7.69964705882353,1,1
16185,-20.664,22.3912,"Low",76.5484200045235,19.1371050011309,-11.7009662772922,-2.06823600861793,1,4
16186,-19.501,22.781,"Low",34.2231222222222,17.1115611111111,-9.84775537634407,-10.2499740143369,1,2
16187,-20.07,22.3,"Low",47.4687141049968,23.7343570524984,-15.7488690702087,-11.5080860215054,1,2
16188,-19.473,21.3652,"Medium",978.931749641667,23.8763841376016,-11.5417462948398,3.70192558359822,1,41
16189,-26.3271,22.6187,"Medium",60.4906915889724,15.1226728972431,-7.9987890180138,-1.28751836669799,1,4
16190,-27.369,23.2987,"Medium",141.736979118029,15.7485532353366,-6.88742041925319,-1.85259860467611,1,9
16191,-22.7002,23.7836,"Medium",176.094557277917,17.6094557277917,-11.2249882304136,-3.63404131103162,1,10
16192,-28.1833,23.3667,"Low",127.722099069701,15.9652623837126,-6.33137609556206,-1.06230314984243,1,8
16193,-21.6717,23.35,"Low",70.8690404581088,17.7172601145272,-9.571552217709,-5.48781507971003,1,4
16194,-21.6158,23.6327,"Low",19.7844113475177,19.7844113475177,-11.8933333333333,-1.76063829787234,1,1
16196,-23.5612,22.3418,"Medium",198.747042663672,22.083004740408,-14.7610349764975,-2.0437684529955,1,9
16197,-28.4233,22.375,"Very Low",70.9250624723897,14.1850124944779,-5.55843845977926,-2.06330234668875,1,5
16198,-29.5,22.3833,"Medium",16.5223883495146,16.5223883495146,-7.1331067961165,-0.0204563106796117,1,1
16199,-26.2168,22.4862,"Medium",17.3212700729927,17.3212700729927,-5.11794160583942,-1.82348905109489,1,1
16200,-29.3618,22.4913,"Medium",34.4944776204523,17.2472388102262,-8.55418188790559,-1.43570871189774,1,2
16201,-26.7275,22.5127,"Low",62.2156002847224,15.5539000711806,-7.28500440520215,-1.85708041605017,1,4
16202,-25.1333,22.5717,"Medium",173.481578120352,17.3481578120352,-8.55233576981409,-4.11485616177614,1,10
16203,-26.18,22.2,"Low",14.1321563786008,14.1321563786008,-8.16517283950617,-1.18836625514403,1,1
16204,-25.2667,21.4667,"Low",86.2739455712289,17.2547891142458,-9.84459660302041,-1.91415220430272,1,5
16205,-26.3483,21.945,"Medium",31.3399709543568,15.6699854771784,-8.84462960791389,-0.84880165674424,1,2
16206,-27.0357,21.7247,"Medium",35.4451830350852,17.7225915175426,-11.8927075290029,1.30762399605467,1,2
